iter	MultiClass
0	1.241030853
1	1.13070231
2	1.046038785
3	0.9775826837
4	0.9204196215
5	0.8705143127
6	0.8307277232
7	0.7943656495
8	0.7631448947
9	0.7343884257
10	0.710179086
11	0.6861917642
12	0.6671251618
13	0.6492408206
14	0.6336129072
15	0.6188334257
16	0.6052713
17	0.5941525293
18	0.5836483845
19	0.573292207
20	0.5637392432
21	0.5548596867
22	0.5466498632
23	0.5389879259
24	0.5321194777
25	0.525645521
26	0.5185233321
27	0.5122978533
28	0.50685549
29	0.5023512184
30	0.4971277252
31	0.4927832124
32	0.4877901222
33	0.4827449057
34	0.4792630135
35	0.4746678772
36	0.4702563013
37	0.4673014718
38	0.4634416864
39	0.4604920189
40	0.4571339099
41	0.4545961303
42	0.4516113349
43	0.4479287189
44	0.4451045699
45	0.4421313788
46	0.4399002902
47	0.4371238834
48	0.434010922
49	0.431836532
50	0.4301076646
51	0.4268811381
52	0.4245365979
53	0.4220905535
54	0.4197315423
55	0.4176696586
56	0.4158411885
57	0.4139368818
58	0.4118489274
59	0.410066303
60	0.4083411591
61	0.4066389051
62	0.4050250989
63	0.403161378
64	0.4016066539
65	0.4000247815
66	0.3984626963
67	0.3965619183
68	0.3950244801
69	0.3935645209
70	0.3915178073
71	0.3901642419
72	0.3890018699
73	0.3874046603
74	0.3855471539
75	0.3839082561
76	0.3824969377
77	0.3812710846
78	0.3804213473
79	0.3789858611
80	0.3778704526
81	0.3761535141
82	0.374744142
83	0.3736655433
84	0.3723225665
85	0.3712640936
86	0.3699190381
87	0.3689284227
88	0.3677686631
89	0.3667004654
90	0.3652486622
91	0.3640012699
92	0.3631232593
93	0.3622090638
94	0.3604979917
95	0.3596854768
96	0.358736783
97	0.3572221074
98	0.3561752714
99	0.3549544876
100	0.3539881762
101	0.35323603
102	0.3519430715
103	0.3509049407
104	0.3499519638
105	0.3488506305
106	0.3479750785
107	0.3466205204
108	0.3457537509
109	0.3444981141
110	0.3438170761
111	0.3430048358
112	0.3421966463
113	0.3412685822
114	0.3400561294
115	0.3388638574
116	0.3375708556
117	0.3368087316
118	0.3357785439
119	0.3347691658
120	0.333846841
121	0.3329996494
122	0.331986854
123	0.3303461878
124	0.3295105768
125	0.3288430507
126	0.3274900313
127	0.326535981
128	0.3256421766
129	0.3246992326
130	0.3233286412
131	0.3224960618
132	0.3217837239
133	0.3208399805
134	0.3200220752
135	0.3192445055
136	0.3182360869
137	0.317371227
138	0.3167398402
139	0.3159954259
140	0.3153647942
141	0.3146971443
142	0.3140674239
143	0.3133178562
144	0.3125051717
145	0.311509344
146	0.310391229
147	0.3097452836
148	0.3088209918
149	0.3076616266
150	0.3068914971
151	0.3062658172
152	0.3055111256
153	0.3045588907
154	0.3039110813
155	0.3035820696
156	0.3027472397
157	0.3020039384
158	0.3014145988
159	0.3004150257
160	0.2999701321
161	0.2993732948
162	0.2986226357
163	0.2977057001
164	0.2965673482
165	0.2962322881
166	0.2954039338
167	0.2948009762
168	0.2941589272
169	0.2934275416
170	0.2926728085
171	0.2920521006
172	0.2913779844
173	0.2908295104
174	0.2902481799
175	0.2895459021
176	0.2888685201
177	0.28822331
178	0.2876050926
179	0.2867184049
180	0.2862424188
181	0.2857141724
182	0.2851219034
183	0.2844705379
184	0.2840284975
185	0.2833275688
186	0.2823755815
187	0.2816826386
188	0.2808022953
189	0.2802813
190	0.2796316911
191	0.278841356
192	0.2779980299
193	0.2772168135
194	0.2765497395
195	0.2759955292
196	0.275512869
197	0.2750466854
198	0.274494084
199	0.2739394588
200	0.273460957
201	0.2726914354
202	0.2721447963
203	0.2716680198
204	0.2712444099
205	0.2707398946
206	0.2700458191
207	0.2694835143
208	0.2689985434
209	0.2681269858
210	0.2678158333
211	0.2672792696
212	0.2668471639
213	0.2664860435
214	0.2660405461
215	0.2656403825
216	0.2651764456
217	0.2647159777
218	0.2641157779
219	0.2634144003
220	0.2626176746
221	0.262344012
222	0.2617443857
223	0.2614819989
224	0.260874317
225	0.2606090138
226	0.260067
227	0.2594945535
228	0.2590675438
229	0.2586072976
230	0.2581173679
231	0.2577206803
232	0.2570925966
233	0.2565418675
234	0.2561038377
235	0.2557474927
236	0.2553167616
237	0.2548999452
238	0.2545221549
239	0.2541059748
240	0.2536652868
241	0.2532446214
242	0.2526459887
243	0.2521490565
244	0.2516150189
